Country or Area,Year,Value
Australia,2019,98903.81712
Australia,2018,105111.4476
Australia,2017,104363.5546
Australia,2016,102675.2073
Australia,2015,103029.5993
Australia,2014,102666.2258
Australia,2013,105411.5155
Australia,2012,105789.9789
Australia,2011,105714.3334
Australia,2010,104167.1987
Australia,2009,106670.7192
Australia,2008,107815.0966
Australia,2007,109798.052
Australia,2006,109623.1289
Australia,2005,110605.6872
Australia,2004,108491.7382
Australia,2003,107155.0822
Australia,2002,113036.4253
Australia,2001,114771.8439
Australia,2000,115904.5692
Australia,1999,112018.6792
Australia,1998,115178.549
Australia,1997,116002.1338
Australia,1996,113191.9584
Australia,1995,113861.0978
Australia,1994,115294.7304
Australia,1993,118144.438
Australia,1992,121279.9476
Australia,1991,122319.7627
Australia,1990,123253.7594
Austria,2019,6194.261565
Austria,2018,6325.927344
Austria,2017,6522.055055
Austria,2016,6544.380846
Austria,2015,6607.271239
Austria,2014,6693.543199
Austria,2013,6831.873498
Austria,2012,6943.128065
Austria,2011,7056.96716
Austria,2010,7271.680348
Austria,2009,7373.070996
Austria,2008,7469.731789
Austria,2007,7595.328007
Austria,2006,7700.777365
Austria,2005,7800.89278
Austria,2004,8034.959106
Austria,2003,8032.044589
Austria,2002,8095.492955
Austria,2001,8236.651599
Austria,2000,8395.164691
Austria,1999,8566.638218
Austria,1998,8747.537554
Austria,1997,8927.281587
Austria,1996,9229.451643
Austria,1995,9532.911738
Austria,1994,9609.782039
Austria,1993,9899.713272
Austria,1992,9983.939701
Austria,1991,10268.82636
Austria,1990,10393.88873
Belarus,2019,15736.35608
Belarus,2018,15627.61585
Belarus,2017,15465.68799
Belarus,2016,15301.46377
Belarus,2015,15415.03535
Belarus,2014,15495.33795
Belarus,2013,15531.61136
Belarus,2012,15134.07322
Belarus,2011,14769.30525
Belarus,2010,14716.57716
Belarus,2009,14372.42281
Belarus,2008,14378.92924
Belarus,2007,14314.12757
Belarus,2006,14033.27878
Belarus,2005,13699.47744
Belarus,2004,13281.3164
Belarus,2003,13070.82501
Belarus,2002,13120.55653
Belarus,2001,13216.6123
Belarus,2000,13346.09322
Belarus,1999,13604.95964
Belarus,1998,14019.59309
Belarus,1997,14053.13788
Belarus,1996,14089.15573
Belarus,1995,14497.08205
Belarus,1994,15278.73739
Belarus,1993,15912.90876
Belarus,1992,16730.54306
Belarus,1991,17881.4381
Belarus,1990,18852.36358
Belgium,2019,7265.378415
Belgium,2018,7344.980415
Belgium,2017,7418.752382
Belgium,2016,7575.577531
Belgium,2015,7613.325644
Belgium,2014,7598.569099
Belgium,2013,7744.89302
Belgium,2012,7893.972085
Belgium,2011,7936.661538
Belgium,2010,8172.287683
Belgium,2009,8196.181111
Belgium,2008,8258.820349
Belgium,2007,8425.886406
Belgium,2006,8528.957382
Belgium,2005,8615.462674
Belgium,2004,8836.147614
Belgium,2003,8893.886428
Belgium,2002,9412.363941
Belgium,2001,9813.166021
Belgium,2000,10233.65142
Belgium,1999,10645.7489
Belgium,1998,10885.63049
Belgium,1997,11059.19698
Belgium,1996,11176.60582
Belgium,1995,11313.66465
Belgium,1994,11249.68787
Belgium,1993,11218.85
Belgium,1992,11415.54864
Belgium,1991,11492.83849
Belgium,1990,11533.22385
Bulgaria,2019,6245.900009
Bulgaria,2018,6431.346872
Bulgaria,2017,6700.437787
Bulgaria,2016,6832.393369
Bulgaria,2015,7097.715673
Bulgaria,2014,7034.361068
Bulgaria,2013,7066.452391
Bulgaria,2012,7135.150965
Bulgaria,2011,7427.42614
Bulgaria,2010,7200.797685
Bulgaria,2009,7124.575108
Bulgaria,2008,7314.310861
Bulgaria,2007,7446.861977
Bulgaria,2006,7471.357905
Bulgaria,2005,7665.749174
Bulgaria,2004,8053.750395
Bulgaria,2003,8554.419877
Bulgaria,2002,7973.392009
Bulgaria,2001,7731.588007
Bulgaria,2000,8439.841373
Bulgaria,1999,8571.073307
Bulgaria,1998,9047.422957
Bulgaria,1997,9659.083491
Bulgaria,1996,10016.81394
Bulgaria,1995,10116.48369
Bulgaria,1994,10146.32456
Bulgaria,1993,12122.02877
Bulgaria,1992,13262.16851
Bulgaria,1991,13595.55448
Bulgaria,1990,14622.99567
Canada,2019,97761.48295
Canada,2018,98663.8695
Canada,2017,98584.80932
Canada,2016,98769.61819
Canada,2015,102246.0239
Canada,2014,104944.3699
Canada,2013,103533.6877
Canada,2012,102573.736
Canada,2011,100779.778
Canada,2010,101405.9523
Canada,2009,103811.106
Canada,2008,110211.8467
Canada,2007,112230.0609
Canada,2006,114127.8744
Canada,2005,115563.1361
Canada,2004,116725.2681
Canada,2003,116514.9544
Canada,2002,117514.8879
Canada,2001,119627.8398
Canada,2000,120789.2172
Canada,1999,119929.7838
Canada,1998,119286.3549
Canada,1997,118546.964
Canada,1996,119349.5212
Canada,1995,115117.6448
Canada,1994,109803.4003
Canada,1993,105314.3687
Canada,1992,101439.478
Canada,1991,96256.62171
Canada,1990,93257.21079
Croatia,2019,3557.127559
Croatia,2018,3613.732555
Croatia,2017,3757.871504
Croatia,2016,3796.316299
