Country or Area,Year,Value
Australia,2019,416563.5328
Australia,2018,415339.7085
Australia,2017,414597.8181
Australia,2016,410968.5195
Australia,2015,401499.3057
Australia,2014,393952.9802
Australia,2013,397888.4484
Australia,2012,406152.0115
Australia,2011,403830.2011
Australia,2010,405106.1656
Australia,2009,407067.3419
Australia,2008,404233.1517
Australia,2007,399626.1952
Australia,2006,392385.8713
Australia,2005,386155.0335
Australia,2004,382821.9799
Australia,2003,369279.9808
Australia,2002,361540.4463
Australia,2001,357131.9339
Australia,2000,349635.0606
Australia,1999,343488.2175
Australia,1998,334074.4518
Australia,1997,320282.2131
Australia,1996,311885.7174
Australia,1995,305002.5879
Australia,1994,293696.1536
Australia,1993,288871.3497
Australia,1992,284524.9587
Australia,1991,279529.9316
Australia,1990,278155.4039
Austria,2019,67962.41562
Austria,2018,66565.40834
Austria,2017,69598.85362
Austria,2016,67215.45666
Austria,2015,66351.61894
Austria,2014,64160.93737
Austria,2013,67758.60622
Austria,2012,67263.27372
Austria,2011,69888.73867
Austria,2010,72000.28958
Austria,2009,67290.76025
Austria,2008,73472.26694
Austria,2007,74096.97318
Austria,2006,76796.49115
Austria,2005,79067.96122
Austria,2004,77667.97035
Austria,2003,77450.503
Austria,2002,71942.9597
Austria,2001,70138.68787
Austria,2000,66138.78958
Austria,1999,65639.8805
Austria,1998,66886.98561
Austria,1997,67252.09679
Austria,1996,67355.34296
Austria,1995,64011.23056
Austria,1994,61034.43724
Austria,1993,60660.78079
Austria,1992,60236.45598
Austria,1991,65738.19178
Austria,1990,62140.06267
Belarus,2019,61022.45526
Belarus,2018,60961.75982
Belarus,2017,60115.68932
Belarus,2016,59851.41712
Belarus,2015,58037.50222
Belarus,2014,62608.7744
Belarus,2013,63237.29978
Belarus,2012,62674.22093
Belarus,2011,61628.92064
Belarus,2010,62774.83785
Belarus,2009,61044.57892
Belarus,2008,65439.25329
Belarus,2007,63302.92594
Belarus,2006,63934.08523
Belarus,2005,61126.61643
Belarus,2004,59800.55623
Belarus,2003,56105.03223
Belarus,2002,54583.38814
Belarus,2001,54770.37088
Belarus,2000,54706.2379
Belarus,1999,54902.27071
Belarus,1998,57396.42562
Belarus,1997,58919.63796
Belarus,1996,58376.63239
Belarus,1995,57507.95587
Belarus,1994,62505.1133
Belarus,1993,76555.04104
Belarus,1992,88858.78048
Belarus,1991,96780.43496
Belarus,1990,103757.5488
Belgium,2019,99745.78183
Belgium,2018,100227.1689
Belgium,2017,99448.1353
Belgium,2016,99872.13838
Belgium,2015,101055.5139
Belgium,2014,96867.69226
Belgium,2013,102652.4548
Belgium,2012,102385.92
Belgium,2011,105025.6784
Belgium,2010,114543.6967
Belgium,2009,107711.7671
Belgium,2008,120181.2462
Belgium,2007,120479.5451
Belgium,2006,123883.9883
Belgium,2005,125640.8006
Belgium,2004,128780.7681
Belgium,2003,128250.3386
Belgium,2002,126864.5278
Belgium,2001,126065.433
Belgium,2000,126720.2414
Belgium,1999,124700.661
Belgium,1998,130209.0289
Belgium,1997,123983.4805
Belgium,1996,129480.0029
Belgium,1995,125941.7184
Belgium,1994,124807.7557
Belgium,1993,121438.7801
Belgium,1992,122504.8841
Belgium,1991,123378.4181
Belgium,1990,120307.9107
Bulgaria,2019,42222.5192
Bulgaria,2018,43637.52895
Bulgaria,2017,47582.29403
Bulgaria,2016,45502.39799
Bulgaria,2015,48275.61926
Bulgaria,2014,45216.88485
Bulgaria,2013,42680.42926
Bulgaria,2012,48340.67671
Bulgaria,2011,53176.4245
Bulgaria,2010,47860.74576
Bulgaria,2009,45814.69835
Bulgaria,2008,54079.06331
Bulgaria,2007,55740.35945
Bulgaria,2006,51894.23738
Bulgaria,2005,50656.28662
Bulgaria,2004,49585.12069
Bulgaria,2003,50533.4389
Bulgaria,2002,46156.42077
Bulgaria,2001,48981.9243
Bulgaria,2000,45465.68716
Bulgaria,1999,46380.1434
Bulgaria,1998,53174.88124
Bulgaria,1997,55856.05043
Bulgaria,1996,58500.87026
Bulgaria,1995,57950.32615
Bulgaria,1994,56403.94483
Bulgaria,1993,58425.94281
Bulgaria,1992,57365.19337
Bulgaria,1991,61517.28446
Bulgaria,1990,76698.69815
Canada,2019,582389.6081
Canada,2018,579470.3721
Canada,2017,569360.4362
Canada,2016,559566.9623
Canada,2015,573061.3759
Canada,2014,570563.4165
Canada,2013,573698.7366
Canada,2012,569262.7314
Canada,2011,569870.1978
Canada,2010,558804.0074
Canada,2009,546610.4409
Canada,2008,579367.1393
Canada,2007,594665.3664
Canada,2006,571409.7634
Canada,2005,575852.4108
Canada,2004,580758.7687
Canada,2003,582343.5856
Canada,2002,564669.1736
Canada,2001,559042.1648
Canada,2000,566552.294
Canada,1999,543729.9985
Canada,1998,528987.1039
Canada,1997,521278.4464
Canada,1996,506999.6203
Canada,1995,490951.3802
Canada,1994,478267.0705
Canada,1993,463993.3034
Canada,1992,463521.0375
Canada,1991,449699.1732
Canada,1990,458007.4077
Croatia,2019,17778.83774
Croatia,2018,17698.21509
Croatia,2017,18718.06321
Croatia,2016,18083.05691
Croatia,2015,17817.23327
Croatia,2014,17682.21557
Croatia,2013,18435.62668
Croatia,2012,19088.54386
Croatia,2011,20651.98823
Croatia,2010,21019.20109
Croatia,2009,21808.54878
Croatia,2008,23598.66871
Croatia,2007,24866.34253
Croatia,2006,23554.15767
Croatia,2005,23345.54379
Croatia,2004,22891.54703
Croatia,2003,23214.31436
Croatia,2002,21887.75795
Croatia,2001,20783.24934
Croatia,2000,19660.56501
Croatia,1999,20022.95031
Croatia,1998,19011.85046
Croatia,1997,18557.19813
Croatia,1996,17344.00599
Croatia,1995,16816.44891
Croatia,1994,16052.77658
Croatia,1993,16807.97857
Croatia,1992,16371.4315
Croatia,1991,16986.18948
Croatia,1990,22977.72572
Cyprus,2019,7339.882161
Cyprus,2018,7340.345899
Cyprus,2017,7523.104064
Cyprus,2016,7373.017542
Cyprus,2015,6970.371373
Cyprus,2014,6949.659018
Cyprus,2013,6581.495279
Cyprus,2012,7261.685653
Cyprus,2011,7786.008556
Cyprus,2010,8099.603769
Cyprus,2009,8468.573299
Cyprus,2008,8714.141158
Cyprus,2007,8501.640325
Cyprus,2006,8182.560575
Cyprus,2005,7954.994239
Cyprus,2004,7800.745042
Cyprus,2003,7574.15812
Cyprus,2002,7183.618855
Cyprus,2001,6994.275733
Cyprus,2000,7120.330323
Cyprus,1999,6873.949865
Cyprus,1998,6607.265818
Cyprus,1997,6310.214428
Cyprus,1996,6222.419468
Cyprus,1995,5872.254111
Cyprus,1994,6000.649034
Cyprus,1993,5759.258326
Cyprus,1992,5515.862832
Cyprus,1991,5141.17979
Cyprus,1990,4651.68041
Czechia,2019,100812.3446
Czechia,2018,106131.6001
Czechia,2017,107612.7914
Czechia,2016,106685.4407
Czechia,2015,104864.6047
Czechia,2014,104094.9
Czechia,2013,106525.8025
Czechia,2012,111289.3623
Czechia,2011,115167.624
Czechia,2010,117603.4333
Czechia,2009,115238.7932
Czechia,2008,122995.0545
Czechia,2007,128307.1996
Czechia,2006,126493.4577
Czechia,2005,125678.6211
Czechia,2004,128169.2187
Czechia,2003,127413.4141
Czechia,2002,123940.0883
Czechia,2001,127024.2882
Czechia,2000,127127.4228
Czechia,1999,116614.3265
Czechia,1998,125308.9692
Czechia,1997,130725.0103
Czechia,1996,134954.5558
Czechia,1995,131600.5124
Czechia,1994,132370.3508
Czechia,1993,138634.2686
Czechia,1992,144616.9419
Czechia,1991,148892.387
Czechia,1990,164202.7097
Denmark,2019,32540.49968
Denmark,2018,36266.93426
Denmark,2017,36235.17117
Denmark,2016,38324.65149
Denmark,2015,36517.2476
Denmark,2014,38883.72665
Denmark,2013,43096.58708
Denmark,2012,41235.64408
Denmark,2011,45671.15191
Denmark,2010,50697.42035
Denmark,2009,50180.88145
Denmark,2008,52638.14321
Denmark,2007,56116.56417
Denmark,2006,60871.44884
Denmark,2005,52944.2916
Denmark,2004,56511.35355
Denmark,2003,62069.75345
Denmark,2002,56907.25804
Denmark,2001,57337.88159
Denmark,2000,55626.00814
Denmark,1999,59860.04154
Denmark,1998,62416.55602
Denmark,1997,66625.72119
Denmark,1996,76009.90132
Denmark,1995,62677.37619
Denmark,1994,65719.60324
Denmark,1993,61701.25424
Denmark,1992,59615.21451
Denmark,1991,65448.50135
Denmark,1990,54867.28346
Estonia,2019,12380.31702
Estonia,2018,17944.52039
Estonia,2017,18788.48986
Estonia,2016,17567.31836
Estonia,2015,15859.41485
Estonia,2014,18885.24131
Estonia,2013,19737.85739
Estonia,2012,17846.30513
Estonia,2011,19090.90398
Estonia,2010,18995.2515
Estonia,2009,14488.94498
Estonia,2008,17875.3864
Estonia,2007,20021.74919
Estonia,2006,16502.33574
Estonia,2005,17156.15412
Estonia,2004,17367.83481
Estonia,2003,17234.69339
Estonia,2002,15348.89311
Estonia,2001,15866.33215
Estonia,2000,15485.18709
Estonia,1999,15911.69361
Estonia,1998,16916.90769
Estonia,1997,18645.05262
Estonia,1996,19134.48231
Estonia,1995,18212.94986
Estonia,1994,20036.42454
Estonia,1993,19403.6768
Estonia,1992,24355.25884
Estonia,1991,33823.32503
Estonia,1990,37649.83924
European Union,2019,3288082.112
European Union,2018,3438423.929
European Union,2017,3517833.237
European Union,2016,3505616.489
European Union,2015,3521835.2
European Union,2014,3484463.16
European Union,2013,3659309.073
European Union,2012,3750325.314
European Union,2011,3805996.643
European Union,2010,3947306.286
European Union,2009,3827875.371
European Union,2008,4171588.071
European Union,2007,4271310.213
European Union,2006,4321276.562
European Union,2005,4313812.343
European Union,2004,4337127.693
European Union,2003,4324283.869
European Union,2002,4228055.659
European Union,2001,4243231.685
European Union,2000,4176879.51
European Union,1999,4158823.475
European Union,1998,4221162.275
European Union,1997,4223649.876
European Union,1996,4316004.388
European Union,1995,4209475.022
European Union,1994,4170536.326
European Union,1993,4198906.478
European Union,1992,4283182.054
European Union,1991,4421858.459
European Union,1990,4485268.827
Finland,2019,42546.04229
Finland,2018,45848.98173
Finland,2017,44652.05625
Finland,2016,47229.21355
Finland,2015,44126.33319
Finland,2014,47644.67126
Finland,2013,51728.11312
Finland,2012,51229.34178
Finland,2011,56666.64945
Finland,2010,64103.39843
Finland,2009,55936.52112
Finland,2008,58616.61943
Finland,2007,66765.40232
Finland,2006,68389.14746
Finland,2005,57047.26292
Finland,2004,68960.7076
Finland,2003,72657.79621
Finland,2002,65059.82259
Finland,2001,62536.13227
Finland,2000,57038.19787
Finland,1999,58891.93516
Finland,1998,59369.60347
Finland,1997,62719.21349
Finland,1996,64056.52894
Finland,1995,58139.98328
Finland,1994,61711.04242
Finland,1993,56348.15439
Finland,1992,54284.40265
Finland,1991,55230.40408
Finland,1990,56968.37955
France,2019,332503.4159
France,2018,338989.7484
France,2017,353366.9406
France,2016,350066.7162
France,2015,345684.6862
France,2014,341529.4722
France,2013,372345.2955
France,2012,370713.9939
France,2011,368643.0941
France,2010,391248.6999
France,2009,382594.5241
France,2008,401487.6016
France,2007,408920.4667
France,2006,418929.2132
France,2005,428636.8724
France,2004,425626.9452
France,2003,424006.4867
France,2002,417929.0961
France,2001,422024.6079
France,2000,416850.0813
France,1999,422082.3416
France,1998,424187.1585
France,1997,405047.4295
France,1996,411902.6112
France,1995,395370.7867
France,1994,389918.3156
France,1993,396287.2145
France,1992,415122.4178
France,1991,424882.2306
France,1990,400186.1744
Germany,2019,711427.8087
Germany,2018,754111.6065
Germany,2017,785882.9184
Germany,2016,800686.632
Germany,2015,795610.2146
Germany,2014,792587.7703
