Country or Area,Year,Value
Australia,2019,10444.59089
Australia,2018,9273.449152
Australia,2017,9250.631509
Australia,2016,9218.70244
Australia,2015,9166.519961
Australia,2014,8117.771863
Australia,2013,7463.841459
Australia,2012,6740.37941
Australia,2011,7149.830408
Australia,2010,6515.837482
Australia,2009,6626.149023
Australia,2008,5472.562728
Australia,2007,5437.973843
Australia,2006,4756.655254
Australia,2005,4969.17604
Australia,2004,4049.983157
Australia,2003,3530.984578
Australia,2002,2764.3476
Australia,2001,2296.711239
Australia,2000,1647.898974
Australia,1999,1396.917906
Australia,1998,928.1176534
Australia,1997,661.683509
Australia,1996,392.5940636
Australia,1995,1067.401694
Australia,1994,1029.115219
Australia,1993,1829.872
Australia,1992,1333.184
Australia,1991,1424.68352
Australia,1990,1424.68352
Austria,2019,1750.257122
Austria,2018,1854.289326
Austria,2017,1809.026993
Austria,2016,1726.069764
Austria,2015,1680.790697
Austria,2014,1570.331526
Austria,2013,1514.429664
Austria,2012,1489.93409
Austria,2011,1399.915624
Austria,2010,1343.267903
Austria,2009,1234.809066
Austria,2008,1144.287869
Austria,2007,1097.868499
Austria,2006,1050.054042
Austria,2005,1078.623091
Austria,2004,1097.350749
Austria,2003,1024.267324
Austria,2002,938.5706974
Austria,2001,825.7150011
Austria,2000,690.7682565
Austria,1999,676.8539537
Austria,1998,603.7516298
Austria,1997,505.3278403
Austria,1996,417.0691285
Austria,1995,348.5327924
Austria,1994,257.1397033
Austria,1993,234.785682
Austria,1992,5.632650803
Austria,1991,3.88944
Austria,1990,2.43756
Belgium,2019,3893.394635
Belgium,2018,4440.630876
Belgium,2017,4356.925943
Belgium,2016,4001.407834
Belgium,2015,4037.247528
Belgium,2014,3879.318179
Belgium,2013,3638.459696
Belgium,2012,3566.97589
Belgium,2011,3562.493348
Belgium,2010,3162.307807
Belgium,2009,2839.104695
Belgium,2008,2976.121475
Belgium,2007,3007.802195
Belgium,2006,2621.189444
Belgium,2005,2546.447776
Belgium,2004,1727.987975
Belgium,2003,1645.256499
Belgium,2002,1455.933736
Belgium,2001,1222.514219
Belgium,2000,1139.95119
Belgium,1999,940.9650949
Belgium,1998,872.7035295
Belgium,1997,711.5831553
Belgium,1996,586.8951144
Belgium,1995,491.4169183
Belgium,1994,490.7235627
Belgium,1993,478.0666657
Belgium,1992,478.0666657
Bulgaria,2019,1818.541116
Bulgaria,2018,2252.529641
Bulgaria,2017,1816.63588
Bulgaria,2016,1399.327111
Bulgaria,2015,1222.075639
Bulgaria,2014,1107.956038
Bulgaria,2013,968.3750358
Bulgaria,2012,823.1421186
Bulgaria,2011,752.6818226
Bulgaria,2010,663.0460516
Bulgaria,2009,639.1132841
Bulgaria,2008,625.8921117
Bulgaria,2007,385.7948251
Bulgaria,2006,297.1054704
Bulgaria,2005,195.1618228
Bulgaria,2004,119.9218303
Bulgaria,2003,83.74488995
Bulgaria,2002,61.29988409
Bulgaria,2001,45.67497208
Bulgaria,2000,33.0239154
Bulgaria,1999,21.59427477
Bulgaria,1998,15.06984758
Bulgaria,1997,9.282612373
Bulgaria,1996,5.843278909
Bulgaria,1995,3.32842473
Bulgaria,1994,1.096775513
Bulgaria,1993,0.023037032
Bulgaria,1992,0.010681702
Bulgaria,1991,0.003135561
Canada,2019,12413.70551
Canada,2018,12519.76504
Canada,2017,11511.07999
Canada,2016,11296.66997
Canada,2015,11037.15094
Canada,2014,10949.36378
Canada,2013,10075.12208
Canada,2012,9084.733409
Canada,2011,8592.518357
Canada,2010,7729.053636
Canada,2009,6909.971099
Canada,2008,6135.671151
Canada,2007,6077.572528
Canada,2006,5391.076067
Canada,2005,5107.033443
Canada,2004,4584.773568
Canada,2003,3979.857653
Canada,2002,3607.067661
Canada,2001,3159.295629
Canada,2000,2754.84204
Canada,1999,2160.364521
Canada,1998,1620.111507
Canada,1997,1122.303491
