Country or Area,Year,Value
Australia,2019,18800.57345
Australia,2018,19626.0687
Australia,2017,20800.03484
Australia,2016,19083.38678
Australia,2015,19080.91113
Australia,2014,19674.25033
Australia,2013,19247.93731
Australia,2012,20418.8214
Australia,2011,20091.6704
Australia,2010,19346.89807
Australia,2009,19511.8633
Australia,2008,19133.65968
Australia,2007,18797.80951
Australia,2006,20399.6376
Australia,2005,20493.67554
Australia,2004,20418.29894
Australia,2003,18720.81536
Australia,2002,19896.54747
Australia,2001,19383.14367
Australia,2000,19090.74547
Australia,1999,18137.82414
Australia,1998,17669.67956
Australia,1997,17575.02209
Australia,1996,16758.50548
Australia,1995,15498.41641
Australia,1994,16338.18628
Australia,1993,15899.01555
Australia,1992,15426.59927
Australia,1991,15608.60066
Australia,1990,16010.80515
Austria,2019,3446.84966
Austria,2018,3446.658429
Austria,2017,3476.536646
Austria,2016,3535.733893
Austria,2015,3449.996349
Austria,2014,3436.283468
Austria,2013,3347.96284
Austria,2012,3364.885284
Austria,2011,3396.440823
Austria,2010,3303.44433
Austria,2009,3498.190787
Austria,2008,3718.831797
Austria,2007,3537.041086
Austria,2006,3522.87853
Austria,2005,3514.741869
Austria,2004,3516.834549
Austria,2003,4102.519365
Austria,2002,4112.250747
Austria,2001,4107.49257
Austria,2000,4231.806016
Austria,1999,4251.204357
Austria,1998,4259.730695
Austria,1997,4212.127876
Austria,1996,4185.645953
Austria,1995,4155.405194
Austria,1994,4059.055173
Austria,1993,4106.386167
Austria,1992,4076.497947
Austria,1991,4264.666304
Austria,1990,4230.701176
Belarus,2019,13350.05634
Belarus,2018,12471.77232
Belarus,2017,12957.9183
Belarus,2016,12589.40263
Belarus,2015,12520.40147
Belarus,2014,12934.16251
Belarus,2013,13492.8063
Belarus,2012,13559.95225
Belarus,2011,13941.76636
Belarus,2010,13201.28449
Belarus,2009,13396.03788
Belarus,2008,13133.93724
Belarus,2007,12499.41537
Belarus,2006,12674.27766
Belarus,2005,11972.24164
Belarus,2004,11622.03606
Belarus,2003,11272.41649
Belarus,2002,10659.72654
Belarus,2001,11883.01077
Belarus,2000,11664.65523
Belarus,1999,11550.61396
Belarus,1998,14945.80748
Belarus,1997,12137.14658
Belarus,1996,11831.55755
Belarus,1995,11437.90265
Belarus,1994,11996.0425
Belarus,1993,14455.64503
Belarus,1992,14551.45275
Belarus,1991,16179.01229
Belarus,1990,16542.07322
Belgium,2019,5530.025337
Belgium,2018,5655.136456
Belgium,2017,5919.245463
Belgium,2016,5739.124923
Belgium,2015,6016.673672
Belgium,2014,6162.059452
Belgium,2013,6154.194904
Belgium,2012,6311.042835
Belgium,2011,6340.588548
Belgium,2010,7544.186224
Belgium,2009,7026.439224
Belgium,2008,6927.682024
Belgium,2007,6960.790277
Belgium,2006,7495.40879
Belgium,2005,8494.160777
Belgium,2004,8740.756808
Belgium,2003,8562.579651
Belgium,2002,9462.224048
Belgium,2001,9808.141379
Belgium,2000,10198.5763
Belgium,1999,10919.28756
