Country or Area,Year,Value
Australia,2019,303.1420192
Australia,2018,236.0027039
Australia,2017,202.6255367
Australia,2016,224.9241339
Australia,2015,171.3236571
Australia,2014,192.5359906
Australia,2013,192.0012359
Australia,2012,294.882947
Australia,2011,301.3048395
Australia,2010,283.3152346
Australia,2009,358.5519811
Australia,2008,444.5166936
Australia,2007,582.676819
Australia,2006,687.0598418
Australia,2005,1791.70112
Australia,2004,1713.848706
Australia,2003,1683.984775
Australia,2002,1727.623153
Australia,2001,1801.881974
Australia,2000,1287.061789
Australia,1999,1139.058757
Australia,1998,1660.51882
Australia,1997,1228.150898
Australia,1996,1410.395058
Australia,1995,1530.835665
Australia,1994,2164.428749
Australia,1993,3315.528376
Australia,1992,4603.282544
Australia,1991,4610.743294
Australia,1990,4607.012919
Austria,2019,38.44537
Austria,2018,32.5187
Austria,2017,44.08975
Austria,2016,50.39009
Austria,2015,49.549343
Austria,2014,53.028514
Austria,2013,49.22899
Austria,2012,50.715244
Austria,2011,73.51273
Austria,2010,78.048961
Austria,2009,36.02206
Austria,2008,208.1864855
Austria,2007,230.332465
Austria,2006,172.3869125
Austria,2005,163.2852
Austria,2004,157.57325
Austria,2003,126.38302
Austria,2002,101.9749779
Austria,2001,116.3374279
Austria,2000,87.86564
Austria,1999,79.18290969
Austria,1998,55.53114267
Austria,1997,117.471744
Austria,1996,80.25417
Austria,1995,83.34963
Austria,1994,70.956369
Austria,1993,63.52011
Austria,1992,510.473091
Austria,1991,1192.617422
Austria,1990,1182.786803
Belgium,2019,128.2698632
Belgium,2018,131.320871
Belgium,2017,179.1736476
Belgium,2016,402.7371004
Belgium,2015,143.7367061
Belgium,2014,128.4357511
Belgium,2013,134.9257573
Belgium,2012,115.3236104
Belgium,2011,157.046954
Belgium,2010,104.7676905
Belgium,2009,457.4407511
Belgium,2008,548.2012797
Belgium,2007,118.2199863
Belgium,2006,113.7628427
Belgium,2005,173.7839084
Belgium,2004,378.5803776
Belgium,2003,259.1013224
Belgium,2002,101.0567562
Belgium,2001,275.8402562
Belgium,2000,446.1100273
Belgium,1999,428.7468874
Belgium,1998,843.8664929
Belgium,1997,1528.918539
Belgium,1996,2766.91383
Belgium,1995,2914.28531
Belgium,1994,2637.36937
Belgium,1993,2195.90067
Belgium,1992,2284.7677
Belgium,1991,2096.42035
Belgium,1990,2191.04861
Bulgaria,2019,0.012188308
Bulgaria,2018,0.014339186
Bulgaria,2017,0.030735799
Bulgaria,2016,0.023313166
Bulgaria,2015,0.027682147
Bulgaria,2014,0.032885848
Bulgaria,2013,0.039087503
Bulgaria,2012,0.046483135
Bulgaria,2011,0.055308339
Bulgaria,2010,0.063742887
Bulgaria,2009,0.05586741
Bulgaria,2008,0.0206622
Canada,2019,596.7784607
Canada,2018,627.0147071
Canada,2017,750.7919527
Canada,2016,769.9782582
Canada,2015,973.3430893
Canada,2014,1092.462157
Canada,2013,1622.298888
Canada,2012,1802.693333
Canada,2011,1689.576315
Canada,2010,1860.022811
Canada,2009,2509.7371
Canada,2008,2600.877111
Canada,2007,2533.630641
Canada,2006,2985.130048
Canada,2005,3838.450427
Canada,2004,3521.880472
Canada,2003,3489.905752
Canada,2002,3462.964542
Canada,2001,4047.517661
Canada,2000,4984.526469
Canada,1999,5370.478
Canada,1998,6476.194445
Canada,1997,6374.169201
Canada,1996,6501.371439
Canada,1995,6346.936694
Canada,1994,6895.014542
Canada,1993,7455.583436
Canada,1992,7578.683113
Canada,1991,8033.113215
Canada,1990,7557.901859
Croatia,2012,0.0311699
Croatia,2011,0.016777
Croatia,2010,0.0339003
Croatia,2009,0.25788015
Croatia,1991,850.751424
Croatia,1990,1240.238592
Czechia,2019,1.619668452
Czechia,2018,2.130297936
Czechia,2017,2.032706399
Czechia,2016,1.817811114
Czechia,2015,2.152001196
Czechia,2014,3.1676241
Czechia,2013,4.221853019
Czechia,2012,6.310081327
Czechia,2011,8.308525655
Czechia,2010,48.06358535
Czechia,2009,45.4404298
Czechia,2008,39.75930738
Czechia,2007,29.00112068
Czechia,2006,31.08833723
Czechia,2005,14.89131955
Czechia,2004,12.80913625
Czechia,2003,8.551941276
Czechia,2002,16.38665045
Czechia,2001,9.745021106
Czechia,2000,4.685938984
Czechia,1999,1.095564374
Czechia,1998,1.655597967
Czechia,1997,1.728254068
Czechia,1996,0.6775259
Czechia,1995,0.00883
Denmark,2019,1.108077015
Denmark,2018,0.007373465
Denmark,2017,1.093501256
Denmark,2016,0.007929747
Denmark,2015,0.01770644
Denmark,2014,2.6527894
Denmark,2013,3.695
Denmark,2012,3.472868378
Denmark,2011,7.707288481
Denmark,2010,10.22445909
Denmark,2009,19.54503893
Denmark,2008,18.44448865
Denmark,2007,21.18679422
Denmark,2006,21.15036191
Denmark,2005,18.76703823
Denmark,2004,20.5342677
Denmark,2003,24.5923894
Denmark,2002,28.01300392
Denmark,2001,27.91183235
Denmark,2000,22.56744828
Denmark,1999,15.74457587
Denmark,1998,11.47485652
Denmark,1997,5.195285025
Denmark,1996,2.09337225
Denmark,1995,0.6335525
Denmark,1994,0.066225
Estonia,2008,0.04855617
Estonia,2007,0.0769093
Estonia,2006,0.09447217
European Union,2019,2870.557544
European Union,2018,3653.361104
European Union,2017,3477.001803
European Union,2016,3852.542782
European Union,2015,3428.310574
European Union,2014,3325.031928
