"Country or Area","Year","Value"
"Australia","2019","136.861720197132"
"Australia","2018","145.265399822976"
"Australia","2017","115.357166950272"
"Australia","2016","117.125146366224"
"Australia","2015","116.17215576402"
"Australia","2014","105.63313448376"
"Australia","2013","108.169917185976"
"Australia","2012","114.98058539706"
"Australia","2011","118.155119885928"
"Australia","2010","129.809129163312"
"Australia","2009","146.99300178048"
"Australia","2008","163.324544933376"
"Australia","2007","175.12764878244"
"Australia","2006","186.068678687772"
"Australia","2005","196.215512499732"
"Australia","2004","230.664605103036"
"Australia","2003","229.114229424252"
"Australia","2002","225.095302791336"
"Australia","2001","218.795715845796"
"Australia","2000","212.426823897804"
"Australia","1999","211.289024822616"
"Australia","1998","240.20739509454"
"Australia","1997","266.773058813088"
"Australia","1996","289.097823057288"
"Australia","1995","316.214949739716"
"Australia","1994","295.606353272172"
"Australia","1993","276.868544891196"
"Australia","1992","258.112168812888"
"Australia","1991","239.342085079776"
"Australia","1990","220.559694348984"
"Austria","2019","436.418111511672"
"Austria","2018","386.323323738564"
"Austria","2017","399.929742249552"
"Austria","2016","392.836842522084"
"Austria","2015","309.547027502328"
"Austria","2014","313.983384632664"
"Austria","2013","305.320444501608"
"Austria","2012","311.879243598348"
"Austria","2011","307.348685361924"
"Austria","2010","335.87064445278"
"Austria","2009","341.678631780648"
"Austria","2008","373.434481907496"
"Austria","2007","367.006656851244"
"Austria","2006","453.462446283864"
"Austria","2005","493.62501427176"
"Austria","2004","484.006603106436"
"Austria","2003","549.44274524346"
"Austria","2002","613.300884015108"
"Austria","2001","629.325706574268"
"Austria","2000","574.528063982544"
"Austria","1999","676.368455025876"
"Austria","1998","869.88236663436"
"Austria","1997","1086.39697412542"
"Austria","1996","1176.89967521624"
"Austria","1995","1100.10771326827"
"Austria","1994","926.173535760612"
"Austria","1993","744.00313185318"
"Austria","1992","656.27178714552"
"Austria","1991","614.14044243786"
"Austria","1990","470.6083777302"
"Belarus","2019","6.82783278"
"Belarus","2018","3.463092"
"Belarus","2017","2.90814"
"Belarus","2016","2.737026"
"Belarus","2015","2.515068"
"Belarus","2014","2.426946"
"Belarus","2013","2.5108728"
"Belarus","2012","2.460006"
"Belarus","2011","2.303598"
"Belarus","2010","2.097258"
"Belarus","2009","1.4529414"
"Belarus","2008","1.25343"
"Belarus","2007","0.541386"
"Belarus","2006","0.445968"
"Belarus","2005","0.3534"
"Belarus","2004","0.244644"
"Belarus","2003","0.16473"
"Belarus","2002","0.118104"
"Belarus","2001","0.11058"
"Belarus","2000","0.0969"
"Belarus","1999","0.088692"
"Belarus","1998","0.066234"
"Belarus","1997","0.057342"
"Belarus","1996","0.011172"
"Belarus","1995","0.00171"
"Belgium","2019","88.104107394936"
"Belgium","2018","94.854649086252"
"Belgium","2017","101.443072217976"
"Belgium","2016","97.478787859404"
"Belgium","2015","92.6342335839"
"Belgium","2014","95.23104624606"
"Belgium","2013","117.320051192436"
"Belgium","2012","111.359821671948"
"Belgium","2011","109.337839359876"
"Belgium","2010","104.952674561556"
"Belgium","2009","93.521440209084"
"Belgium","2008","87.480901098792"
"Belgium","2007","79.418082598356"
"Belgium","2006","77.176027437708"
"Belgium","2005","91.042423278384"
"Belgium","2004","90.552522826608"
"Belgium","2003","102.283121529972"
"Belgium","2002","116.583288594324"
"Belgium","2001","139.51719134976"
"Belgium","2000","144.395850295272"
"Belgium","1999","153.924465812916"
"Belgium","1998","296.210988329232"
"Belgium","1997","539.111026422564"
"Belgium","1996","2059.88626648042"
"Belgium","1995","2139.99553071443"
"Belgium","1994","1978.00153071443"
"Belgium","1993","1635.72793071443"
"Belgium","1992","1699.88713071443"
"Belgium","1991","1540.03633071443"
"Belgium","1990","1622.29873071443"
"Bulgaria","2019","18.261423065364"
"Bulgaria","2018","17.992591130868"
"Bulgaria","2017","17.513936901528"
"Bulgaria","2016","18.747248217552"
"Bulgaria","2015","18.065559334536"
"Bulgaria","2014","16.877758121304"
"Bulgaria","2013","20.419376492784"
"Bulgaria","2012","16.095634023048"
"Bulgaria","2011","16.966935798924"
"Bulgaria","2010","18.76000333122"
"Bulgaria","2009","9.51519974388"
"Bulgaria","2008","9.158036327088"
"Bulgaria","2007","8.81427942954"
"Bulgaria","2006","8.483425822404"
"Bulgaria","2005","8.164991166876"
"Bulgaria","2004","8.133666290652"
"Bulgaria","2003","7.687775322048"
"Bulgaria","2002","7.266328281552"
"Bulgaria","2001","6.867985143396"
"Bulgaria","2000","6.491479341588"
"Bulgaria","1999","6.135613744344"
"Bulgaria","1998","5.799256847172"
"Bulgaria","1997","5.481339175032"
"Bulgaria","1996","5.180849881944"
"Bulgaria","1995","4.896833536644"
"Bulgaria","1994","4.628387085852"
"Bulgaria","1993","4.374656980788"
"Bulgaria","1992","4.134836465796"
"Bulgaria","1991","3.908163011292"
"Bulgaria","1990","3.693915889668"
"Canada","2019","480.456402973872"
"Canada","2018","341.543415493956"
"Canada","2017","315.4363948686"
"Canada","2016","366.19402879008"
"Canada","2015","471.67085931252"
"Canada","2014","402.6642833211"
"Canada","2013","465.93021386652"
"Canada","2012","460.891018905768"
"Canada","2011","409.600902520176"
"Canada","2010","448.578681601656"
"Canada","2009","373.869838534188"
"Canada","2008","644.333416995"
"Canada","2007","726.193076742096"
"Canada","2006","1526.73967627478"
"Canada","2005","1417.36248040238"
"Canada","2004","2339.90088246542"
"Canada","2003","2651.43094721929"
"Canada","2002","3015.81125970085"
"Canada","2001","2557.10062752349"
"Canada","2000","2902.95965504868"
"Canada","1999","2410.09923133454"
"Canada","1998","2357.48211821861"
"Canada","1997","1827.63096610108"
"Canada","1996","1768.64579780604"
"Canada","1995","2275.15612704185"
"Canada","1994","2441.74031182505"
"Canada","1993","2373.54355097945"
"Canada","1992","2557.11274234385"
"Canada","1991","3685.23933477185"
"Canada","1990","3225.92219833985"
"Croatia","2019","5.376247599924"
