price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above
221900,3,1,1180,5650,1,0,0,3,7,1180
538000,3,2.25,2570,7242,2,0,0,3,7,2170
180000,2,1,770,10000,1,0,0,3,6,770
604000,4,3,1960,5000,1,0,0,5,7,1050
510000,3,2,1680,8080,1,0,0,3,8,1680
1.23E+06,4,4.5,5420,101930,1,0,0,3,11,3890
257500,3,2.25,1715,6819,2,0,0,3,7,1715
291850,3,1.5,1060,9711,1,0,0,3,7,1060
229500,3,1,1780,7470,1,0,0,3,7,1050
323000,3,2.5,1890,6560,2,0,0,3,7,1890
662500,3,2.5,3560,9796,1,0,0,3,8,1860
468000,2,1,1160,6000,1,0,0,4,7,860
310000,3,1,1430,19901,1.5,0,0,4,7,1430
400000,3,1.75,1370,9680,1,0,0,4,7,1370
530000,5,2,1810,4850,1.5,0,0,3,7,1810
650000,4,3,2950,5000,2,0,3,3,9,1980
395000,3,2,1890,14040,2,0,0,3,7,1890
485000,4,1,1600,4300,1.5,0,0,4,7,1600
189000,2,1,1200,9850,1,0,0,4,7,1200
230000,3,1,1250,9774,1,0,0,4,7,1250
385000,4,1.75,1620,4980,1,0,0,4,7,860
2.00E+06,3,2.75,3050,44867,1,0,4,3,9,2330
285000,5,2.5,2270,6300,2,0,0,3,8,2270
252700,2,1.5,1070,9643,1,0,0,3,7,1070
329000,3,2.25,2450,6500,2,0,0,4,8,2450
233000,3,2,1710,4697,1.5,0,0,5,6,1710
937000,3,1.75,2450,2691,2,0,0,3,8,1750
667000,3,1,1400,1581,1.5,0,0,5,8,1400
438000,3,1.75,1520,6380,1,0,0,3,7,790
719000,4,2.5,2570,7173,2,0,0,3,8,2570
580500,3,2.5,2320,3980,2,0,0,3,8,2320
280000,2,1.5,1190,1265,3,0,0,3,7,1190
687500,4,1.75,2330,5000,1.5,0,0,4,7,1510
535000,3,1,1090,3000,1.5,0,0,4,8,1090
322500,4,2.75,2060,6659,1,0,0,3,7,1280
696000,3,2.5,2300,3060,1.5,0,0,3,8,1510
550000,4,1,1660,34848,1,0,0,1,5,930
640000,4,2,2360,6000,2,0,0,4,8,2360
240000,4,1,1220,8075,1,0,0,2,7,890
605000,4,2.5,2620,7553,2,0,0,3,8,2620
625000,4,2.5,2570,5520,2,0,0,3,9,2570
775000,4,2.25,4220,24186,1,0,0,3,8,2600
861990,5,2.75,3595,5639,2,0,0,3,9,3595
685000,3,1,1570,2280,2,0,0,3,7,1570
309000,3,1,1280,9656,1,0,0,4,6,920
488000,3,2.5,3160,13603,2,0,0,3,8,3160
210490,3,1,990,8528,1,0,0,3,6,990
785000,4,2.5,2290,13416,2,0,0,4,9,2290
450000,3,1.75,1250,5963,1,0,0,4,7,1250
1.35E+06,3,2.5,2753,65005,1,1,2,5,9,2165
228000,3,1,1190,9199,1,0,0,3,7,1190
345000,5,2.5,3150,9134,1,0,0,4,8,1640
600000,3,1.75,1410,4080,1,0,0,4,7,1000
585000,2,1.75,1980,8550,1,0,0,3,7,990
920000,5,2.25,2730,6000,1.5,0,0,3,8,2130
885000,4,2.5,2830,5000,2,0,0,3,9,2830
292500,4,2.5,2250,4495,2,0,0,3,7,2250
301000,3,2.5,2420,4750,2,0,0,3,8,2420
951000,5,3.25,3250,14342,2,0,4,4,8,3250
430000,4,3,1850,9976,2,0,0,3,8,1850
650000,3,2.25,2150,21235,1,0,3,4,8,1590
289000,3,1.75,1260,8400,1,0,0,3,7,1260
505000,3,1.75,2519,8690,2,0,0,5,8,2519
549000,3,1.75,1540,1044,3,0,0,3,8,1540
425000,3,2.25,1660,6000,1,0,0,3,7,1110
317625,3,2.75,2770,3809,1.5,0,0,5,7,1770
975000,4,2.5,2720,11049,2,0,0,3,10,2720
287000,4,2.5,2240,4648,2,0,0,3,7,2240
204000,3,1,1000,12070,1,0,0,4,7,1000
1.33E+06,5,2.25,3200,20158,1,0,0,3,8,1600
1.04E+06,5,3.25,4770,50094,1,0,0,4,11,3070
325000,3,2,1260,5612,1,0,0,4,7,1260
571000,4,2,2750,7807,1.5,0,0,5,7,2250
360000,4,2.5,2380,5000,2,0,0,3,8,2380
349000,3,1.75,1790,50529,1,0,0,5,7,1090
832500,4,4,3430,35102,2,0,0,4,10,2390
380000,4,1.75,1760,7300,1,0,0,3,7,880
480000,3,1,1040,5060,1,0,0,3,7,1040
410000,3,1,1410,5060,1,0,0,4,7,910
720000,4,2.5,3450,39683,2,0,0,3,10,3450
390000,3,2.5,2350,5100,2,0,0,3,8,2350
360000,4,2.5,1900,5889,2,0,0,3,7,1900
355000,2,1,2020,6720,1,0,0,3,7,1010
